CARS,HHSPTYPE,TENURE,PERSINHH,ECONPRIM,ETHGROUP,LTILL,MSTATUS,OCCPATN,SEX,SOCLASS,SEGROUP
1,2,1,1,9,1,1,1,1,1,1,1
2,2,2,6,1,1,2,2,1,1,2,1
2,1,2,2,9,1,2,2,1,1,1,1
2,3,2,4,1,1,2,4,2,2,2,1
2,1,2,4,1,1,2,3,2,1,2,1
1,1,2,3,1,1,2,2,2,2,2,1
1,2,2,2,1,1,2,2,2,1,2,1
2,2,2,4,2,1,2,2,2,2,2,1
0,3,2,1,6,1,2,5,2,2,2,1
0,4,7,2,9,1,2,2,2,1,2,1
2,2,1,2,8,1,1,2,2,1,2,1
1,2,1,2,1,1,2,2,2,1,2,1
0,2,7,4,1,1,2,1,2,1,2,1
3,1,2,4,10,1,2,2,2,2,2,1
2,3,2,3,1,1,2,4,2,2,2,1
2,3,2,4,1,1,2,2,2,1,2,1
2,1,1,3,1,1,2,2,2,2,2,1
1,2,2,2,6,1,1,3,2,2,2,1
1,2,7,1,1,1,2,2,2,1,2,1
1,2,2,1,9,1,1,4,2,1,2,1
2,2,2,4,1,1,2,1,2,1,2,1
3,2,2,5,1,1,2,2,2,1,2,1
1,3,2,1,1,1,2,3,2,1,2,1
2,1,2,4,1,1,2,2,2,1,2,1
0,3,2,4,1,1,2,2,2,2,2,1
2,1,1,2,9,1,2,2,2,2,2,1
1,2,2,2,1,1,2,1,2,2,2,1
2,3,1,3,6,1,2,1,2,2,2,1
1,4,2,3,1,1,2,4,2,2,2,1
1,1,2,2,9,1,2,2,2,1,2,1
2,3,2,2,1,1,2,4,2,1,2,1
2,1,2,2,1,1,2,2,2,1,2,1
1,2,2,2,1,1,2,2,2,1,2,1
1,1,2,4,1,1,2,2,2,1,2,1
1,2,1,3,9,1,1,2,2,1,2,1
0,6,2,1,1,1,2,1,2,1,2,1
2,2,1,2,9,1,2,3,2,1,2,1
3,2,2,3,1,1,2,2,2,1,2,1
1,3,2,4,1,1,2,2,2,1,2,1
2,2,2,3,1,1,2,2,2,1,2,1
1,4,2,2,1,1,2,1,2,2,2,1
3,1,2,5,2,1,2,2,2,2,2,1
0,2,1,2,1,1,2,1,2,1,2,1
1,1,2,2,1,1,2,2,2,2,2,1
1,2,2,5,1,1,2,2,2,1,2,1
0,2,1,3,1,1,2,1,3,1,2,1
1,1,2,3,1,1,2,2,3,1,2,1
1,1,2,2,1,1,2,2,3,1,2,1
2,2,2,5,1,1,2,2,3,1,2,1
1,3,2,1,1,1,2,2,3,2,2,1
2,2,2,4,9,1,2,3,3,1,2,1
1,1,1,2,9,1,1,2,3,1,2,1
2,2,2,4,1,1,2,2,3,1,2,1
1,2,2,1,1,1,2,4,3,1,2,1
1,1,2,4,1,1,2,2,3,1,2,1
1,2,2,2,1,1,2,4,3,2,2,1
1,1,2,2,1,1,2,4,3,2,2,1
0,4,7,2,9,1,1,1,3,1,2,1
2,2,2,3,2,1,2,2,3,2,2,1
2,1,4,2,2,1,2,2,3,2,2,1
1,2,2,5,1,1,2,2,3,1,2,1
1,2,1,2,1,1,2,1,3,1,2,1
1,1,2,3,1,1,2,2,3,1,2,1
1,2,2,2,1,1,2,2,3,1,2,1
1,2,2,3,1,1,2,2,3,1,2,1
1,2,1,2,9,1,1,2,3,1,2,1
2,1,2,4,1,1,2,2,3,1,2,1
2,1,2,3,1,1,2,3,3,1,2,1
1,2,2,4,1,1,2,2,3,2,2,1
2,1,2,4,1,1,2,2,3,1,2,1
1,3,2,2,1,1,2,2,3,1,2,1
1,2,2,4,1,1,2,3,3,1,2,1
1,2,2,2,9,1,2,2,3,1,2,1
2,1,2,3,1,1,2,2,4,1,2,1
2,1,1,3,9,1,1,1,4,1,2,4
2,1,2,4,1,1,2,2,4,1,2,1
1,3,2,1,1,1,2,1,4,2,2,4
1,3,2,3,1,9,2,2,4,1,2,1
2,1,1,4,9,1,2,2,4,1,2,4
3,1,2,5,1,1,2,4,4,1,2,4
1,2,1,3,9,1,1,2,4,1,2,4
3,2,1,4,1,1,2,2,4,1,2,1
1,3,2,2,1,1,2,1,4,1,2,4
0,4,2,2,1,1,2,1,4,2,2,4
1,1,2,2,1,1,2,5,4,2,2,1
1,6,1,2,9,1,2,2,4,1,2,4
1,2,2,4,1,1,2,2,4,1,2,1
2,2,2,4,1,1,2,2,4,1,2,4
0,3,2,4,1,1,1,2,4,1,2,1
2,2,2,3,1,1,2,2,4,1,2,1
1,2,2,4,1,1,2,3,4,1,2,1
2,1,2,4,1,1,2,3,4,1,2,4
2,1,2,2,1,1,2,2,4,1,2,1
2,1,1,5,1,1,2,2,4,1,2,1
1,2,2,4,1,1,2,2,4,1,2,1
1,3,2,4,1,1,2,3,4,1,2,1
0,3,1,2,1,1,2,2,4,1,2,4
2,2,2,5,1,1,2,2,4,1,2,1
3,2,2,2,1,1,2,2,4,1,2,1
2,2,1,2,1,1,2,2,4,1,2,1
1,1,2,3,1,1,2,2,4,1,2,1
0,2,7,2,9,1,2,2,4,1,2,4
3,2,2,4,1,1,2,2,4,1,2,4
1,2,2,4,1,1,2,2,4,1,2,1
1,1,2,3,6,1,2,2,4,1,2,4
1,3,7,2,8,1,1,2,4,1,2,4
1,1,5,5,1,1,2,2,4,1,2,4
2,2,2,3,1,1,2,2,4,1,2,4
1,1,1,2,9,1,2,2,4,1,2,1
0,2,2,2,1,1,2,2,4,1,2,1
2,2,1,2,9,1,1,2,4,1,2,4
1,1,2,2,1,1,2,2,4,1,2,1
1,3,2,3,1,1,2,2,4,1,2,4
3,2,1,4,1,1,2,2,4,1,2,1
2,3,2,3,6,1,2,2,4,1,2,1
2,2,2,3,1,1,2,3,4,1,2,4
2,1,2,3,1,1,2,2,4,1,2,4
1,3,2,3,1,1,2,1,4,2,2,1
2,2,2,3,1,1,2,2,4,1,2,4
1,2,2,5,1,1,2,2,4,1,2,1
0,2,2,3,1,1,2,2,4,1,3,8
1,1,1,2,9,1,1,2,4,1,2,4
2,3,2,3,1,1,2,2,4,1,2,1
1,1,1,2,8,1,1,2,4,1,2,4
1,1,2,4,1,1,2,2,4,1,2,4
1,1,2,4,1,1,2,2,4,1,2,1
1,2,2,2,1,1,2,2,4,1,2,1
1,2,2,2,1,1,2,2,4,1,2,1
1,3,7,4,10,1,2,2,4,2,2,4
1,1,1,2,9,1,2,2,4,1,2,4
0,3,7,2,1,1,2,1,4,1,2,1
1,3,2,2,1,1,2,2,4,1,2,4
2,2,2,2,1,1,2,2,4,1,2,4
1,3,2,1,9,1,2,5,4,1,2,4
2,2,2,3,1,1,2,2,4,1,2,1
2,4,2,2,1,1,2,2,4,1,2,1
2,2,2,3,1,1,2,2,4,1,2,1
2,3,2,4,1,1,2,2,4,1,2,1
2,1,2,3,1,1,2,2,4,1,2,1
2,2,2,4,1,1,2,2,4,1,2,4
1,1,1,1,6,1,2,2,4,1,2,4
1,1,2,4,1,1,2,2,4,1,2,1
2,1,2,2,1,1,2,2,4,1,2,4
1,5,5,2,1,1,2,2,4,1,2,4
1,3,1,2,8,1,1,2,4,1,2,1
2,6,2,2,2,1,1,2,4,1,2,4
2,2,2,2,1,1,2,2,4,1,2,4
1,1,1,2,9,1,2,2,4,1,2,1
2,1,2,4,1,1,2,2,4,1,2,1
1,2,2,4,1,1,2,2,4,1,2,1
3,1,2,4,1,1,2,2,4,1,2,4
2,1,2,5,1,1,2,2,4,1,2,1
2,1,2,3,1,1,2,2,4,1,2,1
3,1,2,4,1,1,2,2,4,1,2,1
2,2,2,2,1,10,2,3,4,1,2,4
1,2,2,4,1,1,2,2,4,1,2,4
1,2,1,2,9,1,2,2,4,1,2,4
2,1,2,4,1,1,2,2,4,1,2,4
1,2,1,2,1,1,2,2,4,1,2,1
2,1,2,2,1,1,2,3,4,1,2,1
1,1,2,2,1,1,2,2,4,1,2,1
2,1,2,2,1,1,2,2,4,1,2,1
